name,goals,assists,top_speed,total_minutes,distance,rating,rank
Serhou Guirassy,13,4,32.55,1084,92.62,8.735340253748248,A
Raphinha,12,9,34.72,1105,102.23,10.0,A
Harry Kane,11,2,30.44,1120,116.8,7.240135789793046,B
Robert Lewandowski,11,0,32.09,954,88.71,6.935160647173492,B
Vinícius Júnior,8,3,35.53,1104,99.62,6.669949532391568,B
Ousmane Dembélé,8,3,33.69,1052,94.2,6.769058981571211,B
Erling Haaland,8,0,36.57,771,86.38,6.207775938574918,C
Lautaro Martínez,8,0,31.21,696,46.27,6.492080261409418,C
Kylian Mbappé,7,2,36.42,1132,94.41,5.983579391946347,C
Vangelis Pavlidis,7,2,32.91,905,115.3,6.221215443586113,C
Julián Alvarez,7,1,34.29,790,96.55,6.135713655678191,C
Jonathan David,7,2,32.46,746,85.25,6.583257198382351,B
Florian Wirtz,6,1,33.57,765,97.61,5.833023377379167,C
Antoine Griezmann,6,3,30.89,732,89.62,6.584423642161827,B
Viktor Gyökeres,6,0,34.55,606,71.37,5.844094724594425,C
Santiago Giménez,6,1,32.78,449,54.06,6.481761549499004,C
Michael Olise,5,1,32.8,1033,111.81,5.048054532512482,C
Lamine Yamal,5,3,32.18,981,78.8,5.936521456669622,C
Rodrygo,5,2,33.94,880,86.49,5.714985559037471,C
Karim Adeyemi,5,1,35.33,692,59.09,5.773175736068294,C
Bukayo Saka,5,2,32.47,673,50.1,6.174365205089839,C
Ademola Lookman,5,2,34.29,483,50.7,6.447180107210364,C
Nuno Mendes,4,2,35.74,1283,109.66,4.695043122693964,D
Morgan Rogers,4,3,33.61,1025,107.17,5.414255711509217,C
Orkun Kökçü,4,0,32.52,995,120.69,4.395686462812698,D
Declan Rice,4,2,34.18,915,87.8,5.324219454679514,C
Kerem Aktürkoğlu,4,0,32.91,853,107.3,4.660155997164818,D
Jamie Gittens,4,0,34.86,848,91.15,4.738099448816021,D
Daizen Maeda,4,1,35.39,761,98.03,5.168398600746738,C
Marcus Thuram,4,1,34.51,743,51.55,5.397954553308535,C
Charles De Ketelaere,4,5,33.43,702,84.48,6.65041421162469,B
Christian Pulišić,4,1,33.53,632,87.25,5.402597136946736,C
Kai Havertz,4,1,32.25,560,73.5,5.567164145970033,C
Dušan Vlahović,4,1,34.1,550,64.08,5.622896158106715,C
Benjamin Šeško,4,0,33.84,522,62.63,5.335542225336441,C
Jude Bellingham,3,2,33.9,1136,110.27,4.571185009101221,D
Bradley Barcola,3,3,35.27,1002,104.62,5.12446846138008,C
Tijjani Reijnders,3,0,33.79,870,111.27,4.283840454115001,D
Jamal Musiala,3,4,34.06,866,108.07,5.6408169644881845,C
Ryan Flamingo,3,0,32.14,858,92.35,4.384057140143973,D
Mohamed Salah,3,4,34.54,808,88.82,5.80916399070304,C
Rafael Leão,3,2,35.59,797,84.86,5.173860060982333,C
Nicolas Kühn,3,1,35.94,792,96.78,4.794637403143445,D
Anis Hadj Moussa,3,0,32.83,786,92.78,4.486552630079423,D
Antoni Milambo,3,1,33.47,765,100.91,4.815700409233139,D
John McGinn,3,2,32.16,739,71.74,5.315373630779099,C
Ismael Saibari,3,2,32.89,728,78.63,5.301159955038931,C
Martin Ødegaard,3,1,31.91,708,58.49,5.084022081078205,C
Phil Foden,3,1,33.25,689,89.71,5.02509618433579,C
