name,goals,assists,top_speed,total_minutes,distance,rating,rank
Serhou Guirassy,13,4,32.55,0.7915407854984894,0.5857064622124865,8.735340253748248,0
Raphinha,12,9,34.72,0.8074018126888217,0.6514923329682367,10.0,0
Harry Kane,11,2,30.44,0.8187311178247734,0.7512322015334064,7.240135789793046,1
Robert Lewandowski,11,0,32.09,0.6933534743202417,0.5589403066812706,6.935160647173492,1
Vinícius Júnior,8,3,35.53,0.8066465256797584,0.6336254107338446,6.669949532391568,1
Ousmane Dembélé,8,3,33.69,0.7673716012084593,0.5965224534501644,6.769058981571211,1
Erling Haaland,8,0,36.57,0.5551359516616314,0.5429901423877328,6.207775938574918,2
Lautaro Martínez,8,0,31.21,0.49848942598187307,0.2684145673603505,6.492080261409418,2
Kylian Mbappé,7,2,36.42,0.8277945619335347,0.5979600219058051,5.983579391946347,2
Vangelis Pavlidis,7,2,32.91,0.6563444108761329,0.7409638554216869,6.221215443586113,2
Julián Alvarez,7,1,34.29,0.5694864048338368,0.6126095290251917,6.135713655678191,2
Jonathan David,7,2,32.46,0.5362537764350453,0.5352546549835707,6.583257198382351,1
Florian Wirtz,6,1,33.57,0.5506042296072508,0.6198658269441403,5.833023377379167,2
Antoine Griezmann,6,3,30.89,0.525679758308157,0.5651697699890472,6.584423642161827,1
Viktor Gyökeres,6,0,34.55,0.43051359516616317,0.4402382256297919,5.844094724594425,2
Santiago Giménez,6,1,32.78,0.3119335347432024,0.3217415115005477,6.481761549499004,2
Michael Olise,5,1,32.8,0.7530211480362538,0.7170728368017526,5.048054532512482,2
Lamine Yamal,5,3,32.18,0.7137462235649547,0.4911007667031763,5.936521456669622,2
Rodrygo,5,2,33.94,0.6374622356495468,0.5437431544359256,5.714985559037471,2
Karim Adeyemi,5,1,35.33,0.4954682779456193,0.35617469879518077,5.773175736068294,2
Bukayo Saka,5,2,32.47,0.4811178247734139,0.2946330777656079,6.174365205089839,2
Ademola Lookman,5,2,34.29,0.3376132930513595,0.29874041621029573,6.447180107210364,2
Nuno Mendes,4,2,35.74,0.9418429003021148,0.7023548740416211,4.695043122693964,3
Morgan Rogers,4,3,33.61,0.7469788519637462,0.6853094194961666,5.414255711509217,2
Orkun Kökçü,4,0,32.52,0.724320241691843,0.7778614457831327,4.395686462812698,3
Declan Rice,4,2,34.18,0.6638972809667674,0.5527108433734941,5.324219454679514,2
Kerem Aktürkoğlu,4,0,32.91,0.6170694864048338,0.6861993428258489,4.660155997164818,3
Jamie Gittens,4,0,34.86,0.6132930513595166,0.5756434830230012,4.738099448816021,3
Daizen Maeda,4,1,35.39,0.547583081570997,0.6227409638554218,5.168398600746738,2
Marcus Thuram,4,1,34.51,0.533987915407855,0.3045591456736035,5.397954553308535,2
Charles De Ketelaere,4,5,33.43,0.5030211480362538,0.5299835706462214,6.65041421162469,1
Christian Pulišić,4,1,33.53,0.4501510574018127,0.5489457831325302,5.402597136946736,2
Kai Havertz,4,1,32.25,0.3957703927492447,0.4548192771084338,5.567164145970033,2
Dušan Vlahović,4,1,34.1,0.38821752265861026,0.3903340635268346,5.622896158106715,2
Benjamin Šeško,4,0,33.84,0.36706948640483383,0.38040799561883903,5.335542225336441,2
Jude Bellingham,3,2,33.9,0.8308157099697885,0.7065306681270538,4.571185009101221,3
Bradley Barcola,3,3,35.27,0.729607250755287,0.6678532311062433,5.12446846138008,2
Tijjani Reijnders,3,0,33.79,0.6299093655589124,0.7133762322015335,4.283840454115001,3
Jamal Musiala,3,4,34.06,0.6268882175226587,0.6914704271631983,5.6408169644881845,2
Ryan Flamingo,3,0,32.14,0.620845921450151,0.5838581599123768,4.384057140143973,3
Mohamed Salah,3,4,34.54,0.5830815709969789,0.5596933187294634,5.80916399070304,2
Rafael Leão,3,2,35.59,0.574773413897281,0.5325848849945236,5.173860060982333,2
Nicolas Kühn,3,1,35.94,0.5709969788519638,0.6141840087623222,4.794637403143445,3
Anis Hadj Moussa,3,0,32.83,0.5664652567975831,0.5868017524644031,4.486552630079423,3
Antoni Milambo,3,1,33.47,0.5506042296072508,0.6424561883899234,4.815700409233139,3
John McGinn,3,2,32.16,0.5309667673716012,0.44277108433734935,5.315373630779099,2
Ismael Saibari,3,2,32.89,0.5226586102719033,0.48993702081051477,5.301159955038931,2
Martin Ødegaard,3,1,31.91,0.5075528700906344,0.3520673603504929,5.084022081078205,2
Phil Foden,3,1,33.25,0.49320241691842903,0.5657858707557503,5.02509618433579,2
Hakan Çalhanoğlu,3,2,33.63,0.49093655589123864,0.26793537787513694,5.504006040909135,2
Luis Díaz,3,0,33.21,0.4509063444108761,0.5136911281489596,4.7551060168851125,3
Mario Pašalić,3,0,32.69,0.43051359516616317,0.4911692223439212,4.808649324218235,3
Désiré Doué,3,4,32.85,0.42673716012084595,0.35466867469879515,6.240353186619601,2
Mateo Retegui,3,0,33.33,0.4070996978851964,0.4123767798466594,4.903973617152089,3
Takumi Minamino,3,1,31.92,0.4025679758308157,0.4409912376779847,5.228666753637333,2
Weston McKennie,3,0,32.85,0.39274924471299094,0.349671412924425,4.971614726968511,3
Malik Tillman,3,2,33.97,0.37613293051359514,0.42031763417305584,5.626918210438183,2
Abdallah Sima,3,0,34.81,0.35725075528700906,0.3886911281489595,5.01479904191669,2
Sandro Kulenović,3,0,32.64,0.3459214501510574,0.35309419496166483,5.059306886253272,2
